Id;last_name;first_name;position;phone_number;salary
1;Иванов;Александр;программист;126;100
2;Иванов;Антон;директор;127;200
3;Жуков;Андрей;тестировщик;527;200
4;Петров;Сергей;программист;234;300
5;Скворцов;Евгений;программист;235;150
6;Васильев;Егор;проджект;456;50
7;Сидоров;Николай;программист;643;270
8;Сидорова;Евгения;программист;654;350
9;Александрова;Юлия;бухгалтер;412;800
10;Борисова;Алина;бухгалтер;723;120
11;Михайлова;Анастасия;программист;876;90
12;Михайлов;Никита;продакт;875;300
13;Кириллов;Максим;тестировщик;933;200
